geneID.day11,log2FC.day11,FDR.day11,geneID.day31,log2FC.day31,FDR.day31
ACTC1,-0.88,1.77E-02,B4GALT1,-1.23,8.57E-04
AC104809.3,-1.28,1.77E-02,CHRNA2,1.96,8.59E-04
C4orf22,-1.40,1.77E-02,RTDR1,1.11,8.62E-04
DOCK9,-0.83,1.79E-02,MIR1245,-1.17,8.63E-04
ARID3C,1.24,1.79E-02,SH2D3A,-1.66,8.64E-04
GUCY2C,-1.32,1.81E-02,CHST2,1.09,8.67E-04
PPFIA2,0.94,1.82E-02,FUT4,-1.35,8.74E-04
TINAGL1,-1.50,1.83E-02,YBX2,1.25,8.80E-04
NPR1,-1.47,1.83E-02,ACSL5,-1.69,8.84E-04
SLC16A5,-1.05,1.83E-02,STOX2,1.09,8.88E-04
AC010990.1,-1.42,1.85E-02,PDZD4,1.26,8.88E-04
LAMA2,-0.75,1.85E-02,SLC15A4,1.35,8.90E-04
ITPR2,-0.93,1.86E-02,U6.1303,1.95,8.91E-04
ANO9,-1.43,1.89E-02,CAMK2N2,1.45,8.91E-04
GDAP1,0.71,1.92E-02,RP11-619L12.4,1.92,9.08E-04
PRDM1,-1.43,1.92E-02,C2orf85,1.83,9.33E-04
MYL3,-1.26,1.93E-02,PCSK2,1.11,9.33E-04
HOXD4,-1.52,1.97E-02,SERPINB9,-1.14,9.51E-04
ICAM5,-0.85,1.97E-02,RPS6KL1,1.23,9.52E-04
BCL2,-0.72,1.98E-02,AL160008.1,-1.67,9.57E-04
C2orf39,-1.00,1.99E-02,ITPRIPL2,-1.10,9.57E-04
CFLAR,-1.24,2.00E-02,ALPK3,-1.19,9.57E-04
C14orf105,1.23,2.01E-02,ANXA1,-1.31,9.57E-04
CTXN1,0.69,2.01E-02,G0S2,-1.84,9.57E-04
SLAIN1,0.78,2.01E-02,RP11-245A18.2,-1.83,9.57E-04
C1orf226,0.71,2.02E-02,MFI2,-1.10,9.58E-04
DPYSL3,0.83,2.02E-02,HOXC8,-1.98,9.60E-04
C1orf129,1.32,2.03E-02,UCA1,-2.34,9.63E-04
KCNJ9,1.48,2.04E-02,EEF1A2,1.21,9.72E-04
IL6ST,-0.69,2.05E-02,RP11-206M11.7,-1.76,9.75E-04
RP11-766N7.3,1.35,2.06E-02,ACSL6,1.42,9.82E-04
ADCY10,-1.41,2.06E-02,ANKS4B,-2.21,9.97E-04
GLB1L2,0.70,2.06E-02,PLEKHG6,-1.38,1.00E-03
TMEM158,0.91,2.06E-02,MAP2,1.43,1.00E-03
FURIN,-0.69,2.07E-02,IGF2,-1.55,1.01E-03
HRASLS5,-1.48,2.08E-02,SLC2A1,-1.45,1.01E-03
AC007254.3,0.89,2.08E-02,CHRDL2,-1.57,1.01E-03
RP1-290I10.6,-1.21,2.10E-02,RP1-290I10.6,-1.60,1.02E-03
AHNAK,-0.83,2.13E-02,GALNT6,-1.51,1.02E-03
SKAP2,-1.05,2.14E-02,FAM163A,-1.19,1.04E-03
NEB,-1.18,2.14E-02,ANXA13,-1.76,1.04E-03
RP11-939C17.2,-0.70,2.15E-02,CYP2C9,-2.25,1.04E-03
RP11-867G23.13,-0.72,2.17E-02,FEZ1,1.17,1.06E-03
DLL1,0.67,2.17E-02,CLDN6,-1.14,1.06E-03
GPR139,1.17,2.17E-02,AC013413.1,1.96,1.09E-03
RP11-350A18.1,-1.12,2.18E-02,TMPRSS15,2.25,1.10E-03
ENHO,1.19,2.18E-02,C22orf42,2.16,1.11E-03
RFX4,0.73,2.18E-02,FBXO41,1.07,1.11E-03
MOBKL2B,0.72,2.18E-02,RARRES1,-1.61,1.11E-03
TAGLN3,0.72,2.20E-02,CPZ,-1.12,1.12E-03
ATP1A3,0.69,2.21E-02,KCNJ2,-1.18,1.13E-03
ST8SIA6,-1.32,2.21E-02,CTNNA3,1.49,1.13E-03
C2orf80,1.27,2.25E-02,FAM13C,1.12,1.13E-03
CAMKV,0.73,2.25E-02,RASD2,1.61,1.13E-03
AC092675.3,1.44,2.25E-02,SLC17A6,1.16,1.14E-03
RP11-64D24.2,0.68,2.26E-02,MAST1,1.12,1.14E-03
NKAIN1,0.68,2.27E-02,SEL1L3,1.06,1.14E-03
ECHDC2,-0.96,2.27E-02,HLA-E,-1.09,1.14E-03
SLC16A3,-0.68,2.28E-02,MASP1,1.25,1.14E-03
MTSS1,0.69,2.28E-02,SULT1E1,-1.43,1.14E-03
AC097468.4,-1.29,2.29E-02,RP11-235G24.1,1.92,1.15E-03
CXXC4,0.71,2.29E-02,NRXN2,1.26,1.15E-03
CD248,-0.72,2.29E-02,THBS1,-1.45,1.15E-03
ABO,-1.37,2.29E-02,FSD1,1.08,1.16E-03
CTA-134P22.2,0.72,2.30E-02,AC025165.1,1.29,1.17E-03
SLC24A4,1.35,2.31E-02,DACH1,1.18,1.17E-03
ID1,-0.69,2.31E-02,RP11-867G2.8,-1.26,1.18E-03
AL359853.3,-1.35,2.31E-02,ARID3A,-1.14,1.18E-03
NR4A3,-1.32,2.32E-02,NXPH1,1.84,1.19E-03
MEGF9,0.70,2.32E-02,P2RY2,-2.11,1.20E-03
RP11-316M1.11,0.73,2.33E-02,USP53,-1.08,1.21E-03
AC005544.1,0.89,2.33E-02,DPF3,1.53,1.23E-03
SH2D4B,1.32,2.33E-02,AP000859.1,1.82,1.24E-03
RBM47,-0.68,2.33E-02,DCX,1.45,1.24E-03
FAT3,0.67,2.33E-02,CYSLTR2,-1.64,1.25E-03
PAK3,0.71,2.35E-02,PLA2G12B,-2.19,1.26E-03
SOX2OT,0.75,2.37E-02,EMILIN1,-1.22,1.30E-03
CHD5,0.85,2.38E-02,CACNA1A,1.07,1.30E-03
ADAM28,-1.19,2.40E-02,AC126775.1,1.07,1.31E-03
KRT86,-1.21,2.41E-02,GDAP1L1,1.14,1.31E-03
FSTL5,0.92,2.41E-02,LRRC4C,1.31,1.31E-03
CSMD2,0.97,2.43E-02,GPR78,-1.10,1.34E-03
RAB17,-1.41,2.43E-02,AC024910.2,1.82,1.34E-03
FAM59B,0.67,2.46E-02,AP001092.5,1.63,1.34E-03
DNMT3B,-0.76,2.46E-02,GRM1,1.74,1.38E-03
RP1-104O17.2,1.43,2.46E-02,TAGLN3,1.12,1.38E-03
BEX2,0.89,2.46E-02,SHC3,1.23,1.39E-03
ARHGEF15,-1.30,2.49E-02,ELAVL4,1.14,1.39E-03
CTD-2530H12.4,0.72,2.49E-02,MIR614,-1.99,1.39E-03
CHRNA2,1.26,2.49E-02,SNCB,1.51,1.39E-03
SOX11,0.86,2.50E-02,PNMA2,1.15,1.39E-03
LHX1,1.23,2.51E-02,DACH2,1.45,1.39E-03
USHBP1,-1.29,2.51E-02,TMEM145,1.29,1.40E-03
GAS1,0.70,2.51E-02,RP11-770G2.5,-1.90,1.42E-03
RP11-431J24.2,-1.14,2.51E-02,MBNL3,-1.10,1.43E-03
KAL1,0.80,2.56E-02,CYR61,-1.16,1.43E-03
IGFBP5,-0.91,2.57E-02,ANO5,1.08,1.43E-03
SPTBN2,0.67,2.57E-02,TTC9B,1.64,1.44E-03
MYBPC2,-1.38,2.57E-02,TMEM74,1.74,1.44E-03
EYA4,0.83,2.57E-02,NOVA1,1.12,1.45E-03
UNC5D,0.72,2.57E-02,CAPN8,-2.19,1.45E-03
BMPER,-1.05,2.61E-02,EPHA8,1.52,1.46E-03
DNAJC15,-0.92,2.62E-02,NHLH1,1.36,1.46E-03
NDRG1,-0.80,2.62E-02,PPARG,-1.41,1.46E-03
FXYD5,-1.00,2.63E-02,RP11-171A24.3,1.84,1.47E-03
SMTNL2,-1.04,2.65E-02,SGMS2,-1.44,1.50E-03
CLEC19A,1.00,2.66E-02,SCN2A,1.19,1.50E-03
NOS1AP,0.70,2.66E-02,EXOG,1.06,1.52E-03
AC092718.1,-1.41,2.68E-02,FOXO4,-1.23,1.52E-03
AKAP6,0.71,2.69E-02,TIMP1,-1.06,1.54E-03
NHSL1,0.66,2.69E-02,ADAMTSL1,-1.08,1.55E-03
MLC1,1.51,2.69E-02,NLGN1,1.21,1.58E-03
RP11-2C23.2,-0.99,2.71E-02,APOL6,-1.94,1.58E-03
SDC4,-0.68,2.71E-02,NRXN3,1.07,1.59E-03
PLCXD3,-1.32,2.71E-02,B4GALNT1,1.21,1.59E-03
SPINT2,-0.66,2.74E-02,RP11-454C18.2,-1.99,1.60E-03
CTSZ,-0.84,2.74E-02,RORB,1.76,1.60E-03
GRM4,-1.24,2.74E-02,ELOVL1,-1.14,1.60E-03
LAMC3,-0.78,2.74E-02,ELAVL2,1.09,1.60E-03
RGS5,-0.69,2.75E-02,RP13-895J2.3,1.63,1.61E-03
MLLT11,0.71,2.78E-02,CTD-2176I21.2,1.18,1.61E-03
PDZD4,0.67,2.79E-02,CRHR2,1.43,1.61E-03
PLCH2,0.81,2.82E-02,MEGF11,1.24,1.62E-03
LMAN1,-0.69,2.84E-02,JAKMIP1,1.50,1.64E-03
PLOD1,-0.66,2.84E-02,ENPP1,-1.41,1.65E-03
AC068134.6,-1.31,2.90E-02,CAMK1D,1.06,1.66E-03
PTPRQ,1.22,2.95E-02,RP11-806K15.1,1.87,1.66E-03
FAM163A,-1.28,2.96E-02,SHANK1,1.05,1.67E-03
LAMB1,-0.75,2.96E-02,SYP,1.12,1.68E-03
UTF1,-1.26,2.96E-02,PHACTR2,-1.08,1.68E-03
CXorf59,-1.36,2.96E-02,AC004231.2,-1.94,1.71E-03
RP11-707A18.1,1.35,2.97E-02,ATP1A3,1.25,1.71E-03
RESP18,-1.14,2.99E-02,CRTAC1,1.22,1.72E-03
ODZ2,0.69,3.00E-02,DSCAML1,1.17,1.72E-03
NFASC,0.68,3.00E-02,AP3B2,1.08,1.73E-03
ZC4H2,0.70,3.01E-02,CD97,-1.48,1.74E-03
MYLIP,-0.77,3.03E-02,TMEM144,-1.55,1.74E-03
GPR113,1.21,3.03E-02,GABRB3,1.08,1.75E-03
RP11-514O12.4,-0.75,3.07E-02,WNT10A,-1.95,1.75E-03
LTBR,-1.35,3.07E-02,CRISPLD2,-1.14,1.83E-03
TMBIM1,-1.02,3.07E-02,CFLAR,-1.46,1.84E-03
SNHG8,-0.92,3.07E-02,RNASE4,-1.15,1.85E-03
PRKCH,-1.27,3.08E-02,THBD,-1.52,1.85E-03
RP11-346A9.1,-1.41,3.11E-02,SLC15A1,-1.76,1.85E-03
PADI3,-1.29,3.12E-02,ST6GAL2,1.02,1.85E-03
ITGB4,-1.39,3.12E-02,FXYD5,-1.20,1.85E-03
IGFBP4,-0.68,3.13E-02,ERP27,-1.88,1.86E-03
SRXN1,0.68,3.15E-02,CTD-2306M5.1,-2.01,1.86E-03
STOX2,0.66,3.15E-02,TBX4,-1.46,1.87E-03
CNGA3,1.10,3.16E-02,ADARB2,1.28,1.87E-03
SOX10,-0.74,3.16E-02,RP11-168O16.1,1.44,1.90E-03
ACAN,-1.24,3.16E-02,RP6-239D12.1,1.34,1.93E-03
SCUBE1,0.64,3.17E-02,FIGF,-1.73,1.93E-03
COBL,-1.00,3.18E-02,AHR,-1.08,1.95E-03
PRDM6,-1.29,3.18E-02,RP13-25N22.1,1.18,2.00E-03
ZNF503,-0.66,3.18E-02,ALX1,-1.55,2.00E-03
RP11-494M8.4,-1.20,3.18E-02,EPHA5,1.05,2.01E-03
SLC6A6,-0.68,3.18E-02,ODZ2,1.06,2.01E-03
DUSP5,-1.28,3.19E-02,ESR2,1.21,2.05E-03
LEMD1,0.67,3.19E-02,OC90,1.79,2.06E-03
BGN,-0.70,3.20E-02,DLGAP2,1.66,2.06E-03
SPINT1,-0.89,3.21E-02,PARP9,-1.57,2.09E-03
5-Sep,0.65,3.23E-02,AC016768.1,1.78,2.10E-03
TGFBR3,-0.82,3.27E-02,MMP9,-1.59,2.10E-03
PPM1E,0.69,3.28E-02,CTA-250D10.19,1.53,2.11E-03
MAN1A1,-0.71,3.28E-02,PHACTR1,1.04,2.12E-03
TCTEX1D1,-1.20,3.29E-02,CALY,1.27,2.12E-03
KLRG2,-1.51,3.30E-02,EGR1,-1.04,2.12E-03
KIF5C,0.75,3.32E-02,ATP2B2,1.03,2.13E-03
INSC,-1.16,3.33E-02,CTC-338M12.6,1.85,2.17E-03
PLAT,-0.71,3.34E-02,ENHO,1.55,2.17E-03
NTN4,1.07,3.39E-02,FCHO1,1.13,2.17E-03
RP11-2C23.3,-0.99,3.41E-02,MAPT,1.24,2.19E-03
RP11-379F12.7,-1.31,3.41E-02,NKAIN1,1.06,2.22E-03
RP11-275H4.1,1.31,3.42E-02,BST2,-1.07,2.23E-03
KCNG3,-1.36,3.42E-02,RP4-541C22.4,-1.06,2.23E-03
CSPG5,0.98,3.42E-02,HOXD1,-1.76,2.23E-03
BMPR1B,1.02,3.44E-02,KRT7,-1.52,2.24E-03
TRPV2,-1.48,3.45E-02,RP11-560I19.4,1.23,2.25E-03
AL591893.1,-0.76,3.45E-02,ZNF238,1.03,2.28E-03
TMEM64,-0.65,3.54E-02,CSRP1,-1.12,2.28E-03
AC147651.3,-1.23,3.57E-02,AC005330.1,1.70,2.29E-03
SAMD3,1.08,3.59E-02,KCNA4,1.73,2.30E-03
ESYT2,-0.65,3.61E-02,LTBR,-1.38,2.32E-03
PPP1R13L,-0.77,3.62E-02,RBFOX3,1.15,2.32E-03
MMRN2,-0.84,3.63E-02,KRT17,-2.02,2.32E-03
EHD2,-0.76,3.64E-02,C20orf54,-1.72,2.32E-03
LYPD6B,-1.19,3.65E-02,HOXB6,-1.60,2.33E-03
RP1-170O19.2,-1.43,3.65E-02,MARVELD3,-1.57,2.34E-03
FRMD4B,0.66,3.68E-02,C1QTNF6,-1.12,2.38E-03
RP1-239B22.1,0.91,3.68E-02,GRIK4,1.33,2.39E-03
BCL6B,-1.31,3.69E-02,AC008746.3,1.17,2.39E-03
IL13RA2,1.20,3.70E-02,PPP1R14C,1.40,2.40E-03
ACOXL,-1.23,3.72E-02,FAM59B,1.02,2.40E-03
BATF2,-1.08,3.75E-02,RNF165,1.03,2.44E-03
RNF175,0.75,3.76E-02,CRB3,-1.71,2.44E-03
HMGCS2,-1.46,3.78E-02,MLPH,-1.34,2.44E-03
S100A11,-0.76,3.78E-02,GABRB1,1.80,2.44E-03
EMX2OS,0.74,3.78E-02,RP11-316C12.2,1.49,2.44E-03
EPHA4,0.64,3.79E-02,SYNE2,1.23,2.44E-03
HOPX,-1.46,3.79E-02,C14orf162,1.65,2.45E-03
RP11-513I15.6,0.64,3.83E-02,FXYD7,1.18,2.45E-03
CAPG,-1.16,3.83E-02,OGN,1.21,2.45E-03
CNR1,0.69,3.83E-02,AC008063.2,-1.63,2.45E-03
HIPK2,0.72,3.83E-02,FABP2,-2.34,2.47E-03
SCN7A,-1.25,3.85E-02,C3orf52,-1.45,2.48E-03
ROPN1L,-1.25,3.86E-02,MLANA,-1.34,2.48E-03
GRB10,0.65,3.86E-02,RP11-275H4.1,1.76,2.50E-03
ST18,0.98,3.86E-02,C1QL4,1.37,2.50E-03
C11orf88,-1.34,3.87E-02,FERMT1,-1.74,2.52E-03
NFIB,0.78,3.93E-02,ODZ1,1.00,2.52E-03
ZNF428,0.64,3.95E-02,POU2F2,1.09,2.54E-03
AC126407.1,1.26,3.96E-02,EHD4,-1.05,2.57E-03
AFAP1L1,-1.23,3.98E-02,CAST,-1.11,2.57E-03
CENPV,0.63,3.99E-02,VIL1,-1.05,2.60E-03
LONRF2,0.92,3.99E-02,RP11-454P21.1,1.68,2.61E-03
AC110814.1,0.64,3.99E-02,IQGAP1,-1.15,2.62E-03
CDH10,0.97,4.00E-02,SHROOM1,-1.51,2.62E-03
C6orf183,-1.18,4.06E-02,SYT3,1.03,2.64E-03
ELOVL2,0.70,4.09E-02,RP11-525A16.4,-1.64,2.64E-03
SEC24D,-0.63,4.11E-02,BAI1,1.05,2.65E-03
KDELC2,-0.65,4.13E-02,KCNQ2,1.07,2.66E-03
CADM4,0.63,4.13E-02,OAS1,-1.94,2.70E-03
IGFBPL1,0.66,4.13E-02,RP11-402J6.1,1.54,2.70E-03
CD34,-1.25,4.18E-02,ZCCHC12,1.11,2.71E-03
DTX3L,-1.23,4.21E-02,CCDC80,-1.11,2.71E-03
AC007834.3,0.89,4.31E-02,ISX,-2.07,2.72E-03
CDH19,-1.22,4.31E-02,RP11-115C10.1,1.74,2.73E-03
C14orf162,1.20,4.32E-02,SYT5,1.19,2.75E-03
KCNJ2,-0.92,4.32E-02,SCN8A,1.10,2.75E-03
CSRNP3,0.65,4.32E-02,SULT4A1,1.01,2.75E-03
AFF2,0.65,4.34E-02,RP11-150O12.3,-2.49,2.76E-03
MYO5B,-0.86,4.36E-02,DMKN,-1.07,2.81E-03
ARID3A,-0.63,4.37E-02,C12orf68,1.05,2.81E-03
RSPH1,-0.94,4.37E-02,NPY5R,1.79,2.82E-03
AC012354.6,1.32,4.40E-02,IFI16,-1.00,2.83E-03
CNGB1,1.16,4.41E-02,AMH,1.00,2.84E-03
HNF1B,-1.29,4.41E-02,GLB1L3,1.90,2.85E-03
NOS3,-0.85,4.42E-02,RP11-436K8.1,1.74,2.85E-03
TMEM92,-1.29,4.42E-02,BRSK2,1.07,2.87E-03
AC020594.5,-1.14,4.45E-02,GATA5,-1.61,2.87E-03
GNAZ,0.64,4.46E-02,MYO1D,-1.02,2.89E-03
MMRN1,0.66,4.47E-02,SRGAP3,1.13,2.91E-03
MAST1,0.63,4.48E-02,AC116565.1,1.09,2.91E-03
AGBL2,-1.26,4.48E-02,CNKSR2,1.37,2.91E-03
GLT1D1,1.46,4.51E-02,UNC80,1.10,2.92E-03
ATP9A,0.66,4.52E-02,TMCC2,1.03,2.97E-03
SLC44A5,0.70,4.56E-02,RP11-585O21.1,1.70,2.97E-03
PTH2,1.07,4.56E-02,HMX1,1.57,2.97E-03
SYT11,0.68,4.60E-02,HAR1A,1.89,2.98E-03
TRPV6,-1.23,4.60E-02,SLC35F2,-1.05,3.01E-03
C6orf97,-1.28,4.62E-02,PLBD1,-1.55,3.03E-03
BZRAP1,0.62,4.67E-02,AHNAK,-1.31,3.06E-03
RTDR1,0.63,4.69E-02,FRK,-1.80,3.07E-03
CD22,-1.05,4.71E-02,AC092675.3,1.70,3.08E-03
FOXJ1,-0.65,4.71E-02,4-Sep,1.09,3.08E-03
SLC8A1,0.75,4.72E-02,EFEMP1,-1.10,3.11E-03
GAL3ST4,0.66,4.73E-02,AL359738.1,1.53,3.13E-03
AC068718.1,-1.22,4.75E-02,GRIK1,1.01,3.15E-03
E2F2,1.00,4.78E-02,GPR88,1.67,3.15E-03
SCG5,0.72,4.78E-02,TEX15,1.03,3.18E-03
5S_rRNA.275,1.16,4.81E-02,RP3-403A15.5,1.13,3.23E-03
SRGAP3,0.66,4.81E-02,WNT2,-1.73,3.28E-03
BCL11B,0.95,4.85E-02,CTA-55I10.1,-1.97,3.34E-03
RBP4,-1.22,4.87E-02,AC068302.3,-1.06,3.35E-03
FAM114A1,-0.63,4.89E-02,C6orf174,1.13,3.35E-03
FAM122B,-0.63,4.89E-02,DTX1,1.05,3.38E-03
SLIT1,0.63,4.89E-02,SRGN,-2.14,3.40E-03
PPFIBP2,-1.04,4.89E-02,CD59,-1.15,3.40E-03
SLCO1A2,-1.19,4.89E-02,FAM65B,1.04,3.41E-03
CSDA,-0.64,4.89E-02,PDLIM1,-1.01,3.42E-03
APOBEC3D,-0.93,4.89E-02,TMEM37,-1.73,3.44E-03
PODXL2,0.62,4.89E-02,TM4SF18,-1.54,3.47E-03
PDGFRB,-0.63,4.89E-02,HOXD11,-1.81,3.47E-03
LCNL1,-1.22,4.89E-02,PPL,-1.00,3.47E-03
GPM6B,0.62,4.89E-02,NCRNA00168,1.59,3.49E-03
LITAF,-0.64,4.95E-02,RP11-477B16.5,1.79,3.50E-03
RYR2,-1.20,4.95E-02,AC073479.1,1.54,3.50E-03
CEBPD,-1.12,4.97E-02,RP11-20D14.6,-1.69,3.52E-03
TNN,-1.32,4.98E-02,JAKMIP2,0.98,3.54E-03
AC132217.1,-1.13,4.99E-02,AC131097.3,1.17,3.57E-03
PIWIL4,-0.96,4.99E-02,THRB,-1.27,3.57E-03
MCC,-0.64,4.99E-02,INA,1.20,3.58E-03
TRPA1,-1.18,4.99E-02,CLVS2,1.77,3.59E-03
,,,AC010729.1,1.20,3.60E-03
,,,RP11-804N13.1,1.69,3.61E-03
,,,SP100,-1.66,3.61E-03
,,,XBP1,-1.03,3.62E-03
,,,CAMK2A,1.12,3.64E-03
,,,RHBDL3,1.17,3.64E-03
,,,RAB3C,1.11,3.66E-03
,,,AC091588.1,-1.69,3.66E-03
,,,AC068499.6,1.35,3.67E-03
,,,ERAP1,-1.04,3.68E-03
,,,RGS7,1.57,3.71E-03
,,,KRTAP5-4,1.25,3.71E-03
,,,RGS6,1.78,3.71E-03
,,,SGCZ,1.77,3.71E-03
,,,P2RX3,1.01,3.72E-03
,,,APOC1,-1.72,3.72E-03
,,,TMSB15A,1.38,3.73E-03
,,,PPP1R3B,-0.97,3.78E-03
,,,RP13-137A17.4,1.55,3.79E-03
,,,CTSZ,-1.05,3.79E-03
,,,GPR87,-2.05,3.79E-03
,,,Z83826.1,-1.45,3.79E-03
,,,CAMK4,1.02,3.80E-03
,,,DIO2,-1.30,3.82E-03
,,,APOBEC3C,-1.41,3.82E-03
,,,LIMA1,-1.05,3.89E-03
,,,SLC6A17,1.13,3.90E-03
,,,INSM1,1.03,3.90E-03
,,,SLC8A3,1.72,3.92E-03
,,,RP11-399D2.1,-1.83,3.95E-03
,,,AMPH,1.02,3.95E-03
,,,ITPKB,-1.04,3.97E-03
,,,DAPL1,1.63,3.97E-03
,,,LHX9,1.19,3.97E-03
,,,PAIP2B,1.12,4.02E-03
,,,KCNN4,-1.84,4.05E-03
,,,ABLIM3,1.10,4.08E-03
,,,MDGA1,1.02,4.16E-03
,,,SIX3,1.29,4.17E-03
,,,AC008522.1,1.04,4.20E-03
,,,XKR4,1.26,4.22E-03
,,,PRSS16,-1.65,4.23E-03
,,,STMN2,1.24,4.27E-03
,,,GRIA3,1.11,4.31E-03
,,,AKAP6,1.06,4.32E-03
,,,PCLO,1.01,4.32E-03
,,,C1QL1,1.22,4.33E-03
,,,ZMAT1,1.01,4.33E-03
,,,SLC39A4,-1.63,4.35E-03
,,,CSDA,-0.98,4.39E-03
,,,DKK1,-1.67,4.42E-03
,,,CLIC1,-1.00,4.43E-03
,,,CDKN1A,-1.07,4.43E-03
,,,HOXA11,-1.70,4.43E-03
,,,HOXC5,-1.06,4.46E-03
,,,ATP6V0E2,0.96,4.51E-03
,,,CNR1,1.05,4.51E-03
,,,KIAA1467,0.97,4.52E-03
,,,PHYHIP,1.43,4.52E-03
,,,KIF5A,1.11,4.53E-03
,,,AC093819.1,1.78,4.53E-03
,,,GRB7,-1.57,4.55E-03
,,,ZC3HAV1,-0.98,4.61E-03
,,,SHISA8,1.51,4.61E-03
,,,MAN1A1,-1.06,4.63E-03
,,,KCNE4,-1.09,4.69E-03
,,,AC005532.5,-2.00,4.74E-03
,,,GNG4,1.05,4.74E-03
,,,ARHGDIB,-1.65,4.74E-03
,,,AC002094.1,-1.01,4.76E-03
,,,SEPP1,-1.07,4.77E-03
,,,PCSK1N,0.96,4.77E-03
,,,RUNX1,-1.02,4.77E-03
,,,NFKB2,-1.00,4.78E-03
,,,SLC10A3,-1.19,4.79E-03
,,,KCNH4,1.71,4.79E-03
,,,RP11-708B6.2,1.10,4.80E-03
,,,HLF,1.63,4.82E-03
,,,DPF1,1.16,4.82E-03
,,,SLC17A7,0.98,4.84E-03
,,,SSTR2,1.23,4.85E-03
,,,CD164,-1.11,4.87E-03
,,,LRP8,0.98,4.89E-03
,,,SCN3A,0.98,4.91E-03
,,,AL773572.1,-1.78,4.92E-03
,,,MSX2,-1.02,4.96E-03
,,,AC003102.3,1.15,4.98E-03
,,,RP11-619L12.3,1.74,4.99E-03
,,,KIAA1644,1.06,5.00E-03
,,,NAMPT,-0.94,5.00E-03
,,,ZIC3,1.04,5.00E-03
,,,AC096669.3,1.49,5.01E-03
,,,TMEM229B,1.35,5.04E-03
,,,RP11-160A10.2,1.82,5.04E-03
,,,HTATIP2,-1.61,5.04E-03
,,,KDELC2,-0.96,5.04E-03
,,,KIAA1486,1.68,5.04E-03
,,,LRRN4,-1.55,5.04E-03
,,,ESRP2,-0.95,5.04E-03
,,,UNC13A,1.03,5.06E-03
,,,RP11-331K21.1,1.09,5.07E-03
,,,MDGA2,1.41,5.10E-03
,,,AC021677.2,1.63,5.10E-03
,,,SUSD4,1.22,5.11E-03
,,,RP4-723E3.1,1.55,5.14E-03
,,,YPEL1,0.95,5.17E-03
,,,HSD11B1L,0.95,5.19E-03
,,,RFPL1S,1.29,5.21E-03
,,,RP11-324O2.4,-1.71,5.22E-03
,,,LRRC7,1.25,5.22E-03
,,,DPEP1,-1.73,5.22E-03
,,,RP11-32K4.2,0.99,5.22E-03
,,,RUNDC3B,1.39,5.23E-03
,,,C1orf130,-1.68,5.25E-03
,,,IGSF9,0.94,5.26E-03
,,,DLK1,-1.29,5.26E-03
,,,RP11-565P22.6,1.20,5.27E-03
,,,CTA-373H7.7,1.07,5.29E-03
,,,ERRFI1,-1.00,5.31E-03
,,,AL773572.7,-1.77,5.36E-03
,,,SEMA5B,1.06,5.36E-03
,,,IGFBPL1,1.03,5.36E-03
,,,Z83844.1,-1.03,5.38E-03
,,,SLC26A2,-1.01,5.38E-03
,,,RP11-241G9.3,-1.60,5.40E-03
,,,ALDOB,-1.42,5.42E-03
,,,HMGCS2,-1.30,5.45E-03
,,,RP11-270G15.2,-1.04,5.51E-03
,,,GPR137C,0.95,5.51E-03
,,,CDK5R2,1.05,5.52E-03
,,,SYT13,1.08,5.58E-03
,,,SCTR,-1.60,5.58E-03
,,,RALYL,1.38,5.60E-03
,,,CTB-99A3.1,0.95,5.61E-03
,,,OLFML3,-0.95,5.63E-03
,,,AL353660.1,1.44,5.69E-03
,,,RGAG1,1.65,5.69E-03
,,,RP11-864G5.3,-0.94,5.70E-03
,,,ARC,1.76,5.70E-03
,,,CDS1,-1.01,5.74E-03
,,,CHRNB2,1.21,5.77E-03
,,,GALNT9,1.17,5.77E-03
,,,LMO7,-0.99,5.78E-03
,,,RP4-683L5.1,1.50,5.78E-03
,,,OLFM4,-2.36,5.79E-03
,,,SLC2A14,-1.74,5.80E-03
,,,BACE2,-0.99,5.82E-03
,,,PAPSS2,-0.94,5.92E-03
,,,LDLRAD2,-0.99,5.94E-03
,,,HGFAC,1.50,5.94E-03
,,,TMEM170B,0.95,5.96E-03
,,,EPS8L2,-0.98,6.00E-03
,,,CEND1,1.21,6.00E-03
,,,PREX2,1.07,6.02E-03
,,,GPX8,-0.96,6.03E-03
,,,RP11-456N14.2,-0.96,6.05E-03
,,,RP11-259P1.1,1.57,6.13E-03
,,,ANKS1B,0.98,6.14E-03
,,,BMPER,-1.30,6.14E-03
,,,HS6ST2,0.96,6.20E-03
,,,RP11-567G24.3,1.46,6.23E-03
,,,IL13RA1,-0.96,6.26E-03
,,,MRPS26,-0.94,6.26E-03
,,,PRRG2,-1.66,6.27E-03
,,,DDN,1.43,6.31E-03
,,,ALS2CR10,-1.55,6.31E-03
,,,FOXP2,0.92,6.32E-03
,,,GATM,1.07,6.35E-03
,,,STARD10,-0.92,6.35E-03
,,,WFDC2,-1.07,6.42E-03
,,,RP11-766N7.4,1.54,6.45E-03
,,,TUBB2B,1.05,6.48E-03
,,,AC011270.1,1.02,6.50E-03
,,,GABRG3,1.38,6.54E-03
,,,C7orf52,1.48,6.54E-03
,,,NCRNA00051,1.51,6.56E-03
,,,CTDSP1,-0.93,6.59E-03
,,,KANK4,-0.98,6.63E-03
,,,ENDOD1,-0.93,6.67E-03
