Symbol,GeneName,ProbeName,RefSeq,FC,RP rank
MARK1,MAP/microtubule affinity-regulating kinase 1,A_23_P424,NM_018650,1.17,744
UGT2B17,"UDP glucuronosyltransferase 2 family, polypeptide B17",A_24_P17691,NM_001077,0.83,745
KRTHB1,"keratin, hair, basic, 1",A_23_P25187,NM_002281,0.84,746
OAS2,"2'-5'-oligoadenylate synthetase 2, 69/71kDa",A_24_P343929,NM_016817,0.83,747
KLHL3,kelch-like 3 (Drosophila),A_23_P133543,NM_017415,1.17,748
EGR3,early growth response 3,A_23_P216225,NM_004430,1.17,749
AK093982,,A_32_P204330,b,1.17,750
RNF157,ring finger protein 157,A_32_P57810,NM_052916,0.82,751
XBP1,X-box binding protein 1,A_23_P120845,NM_005080,0.83,752
MGC19764,hypothetical protein MGC19764,A_23_P402899,NM_144975,1.12,753
ARID1A,AT rich interactive domain 1A (SWI- like),A_24_P92952,NM_006015,0.84,754
SYTL4,synaptotagmin-like 4 (granuphilin-a),A_24_P122337,NM_080737,NA,755
FABP3,"fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",A_24_P62783,NM_004102,0.85,756
RGS9,regulator of G-protein signalling 9,A_23_P66881,NM_003835,1.20,757
LOC440079,LOC440079,A_32_P211765,XM_498535,0.82,758
HIST1H2AL,"histone 1, H2al",A_23_P363174,NM_003511,0.83,759
THC2436337,,A_32_P164203,hc,0.83,760
CKAP4,cytoskeleton-associated protein 4,A_23_P48056,NM_006825,0.81,761
TTMP,TPA-induced transmembrane protein,A_23_P58009,NM_024616,NA,762
HIST1H4G,"histone 1, H4g",A_24_P277673,NM_003547,0.92,763
PLAC8,placenta-specific 8,A_23_P81219,NM_016619,0.81,764
EDG1,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1",A_23_P404481,NM_001400,0.84,765
AMOTL1,angiomotin like 1,A_24_P329815,NM_130847,0.82,766
KIAA1751,KIAA1751,A_24_P85258,b,1.13,767
RNU12,"RNA, U12 small nuclear",A_24_P23445,NR_000041,1.15,768
NS3TP2,HCV NS3-transactivated protein 2,A_23_P22350,NM_023927,0.84,769
SLC27A5,"solute carrier family 27 (fatty acid transporter), member 5",A_23_P4611,NM_012254,1.17,770
MDFIC,MyoD family inhibitor domain containing,A_23_P327022,NM_199072,1.18,771
NR4A1,"nuclear receptor subfamily 4, group A, member 1",A_23_P128230,NM_002135,1.18,772
THC2382540,,A_24_P877350,hc,1.16,773
IGF2R,insulin-like growth factor 2 receptor,A_23_P156953,NM_000876,0.84,774
LOC90379,hypothetical protein BC002926,A_23_P50399,b,NA,775
ENST00000246024,,A_24_P942517,ns,0.83,776
IL12RB2,"interleukin 12 receptor, beta 2",A_23_P72077,NM_001559,1.19,777
PDE4A,"phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)",A_24_P322474,NM_006202,1.19,778
A_23_P300563,,A_23_P300563,0,1.08,779
CX3CL1,chemokine (C-X3-C motif) ligand 1,A_23_P37727,NM_002996,1.18,780
HCK,hemopoietic cell kinase,A_24_P365526,NM_002110,1.19,781
ZBP1,Z-DNA binding protein 1,A_23_P259141,NM_030776,0.82,782
A_23_P9997,,A_23_P9997,0,0.83,783
HIST1H4I,"histone 1, H4i",A_24_P20873,NM_003495,0.90,784
NIPBL,Nipped-B homolog (Drosophila),A_24_P357688,NM_015384,0.84,785
LDHA,lactate dehydrogenase A,A_32_P44568,NM_005566,1.14,786
CASK,calcium/calmodulin-dependent serine protein kinase (MAGUK family),A_24_P288722,NM_003688,0.82,787
TREML2,triggering receptor expressed on myeloid cells-like 2,A_23_P7932,NM_024807,0.82,788
HTF9C,HpaII tiny fragments locus 9C,A_24_P305662,NM_022727,0.85,789
THC2279466,,A_32_P115277,hc,1.17,790
THC2305108,,A_32_P219011,hc,0.83,791
ZPBP2,zona pellucida binding protein 2,A_23_P77852,NM_199321,1.17,792
HIST1H4B,"histone 1, H4b",A_24_P166407,NM_003544,1.16,793
AK131288,,A_23_P337726,b,1.16,794
MT1G,metallothionein 1G,A_23_P206707,NM_005950,0.83,795
HIST1H2BI,"histone 1, H2bi",A_23_P111041,NM_003525,0.83,796
PAG1,phosphoprotein associated with glycosphingolipid microdomains 1,A_23_P347070,NM_018440,1.19,797
NQO1,"NAD(P)H dehydrogenase, quinone 1",A_23_P206661,NM_000903,0.83,798
THC2382759,,A_32_P177829,hc,0.83,799
RGC32,response gene to complement 32,A_24_P10137,NM_014059,1.18,800
TNS4,tensin 4,A_23_P207850,NM_032865,1.14,801
FLJ36492,hypothetical protein FLJ36492,A_32_P216369,NM_182568,NA,802
A_32_P82293,,A_32_P82293,0,1.18,803
SNN,stannin,A_24_P30923,NM_003498,1.17,804
THC2275252,,A_23_P136753,hc,1.04,805
THC2401540,,A_32_P180958,hc,1.17,806
A_32_P121226,,A_32_P121226,0,1.15,807
HOP,homeodomain-only protein,A_23_P254507,NM_139211,1.20,808
ENST00000260323,,A_23_P88576,ns,1.14,809
DKFZp761E198,hypothetical protein DKFZp761E198,A_24_P383788,NM_138368,0.83,810
FBXL17,F-box and leucine-rich repeat protein 17,A_32_P137632,b,0.85,811
ATP2A2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",A_24_P141786,NM_001681,0.84,812
A_32_P95973,,A_32_P95973,0,1.15,813
RNF130,ring finger protein 130,A_23_P41734,NM_018434,NA,814
TLR2,toll-like receptor 2,A_23_P92499,NM_003264,0.82,815
S100A4,"S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)",A_23_P94800,NM_002961,0.83,816
CFTR,"cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)",A_23_P215720,NM_000492,NA,817
ABLIM1,actin binding LIM protein 1,A_23_P202520,NM_001003408,1.18,818
ZNF257,zinc finger protein 257,A_23_P16632,NM_033468,0.83,819
CD709370,,A_23_P170830,b,0.82,820
TRERF1,transcriptional regulating factor 1,A_23_P59022,NM_033502,1.18,821
CTNNA2,"catenin (cadherin-associated protein), alpha 2",A_23_P84736,NM_004389,NA,822
KIAA1463,KIAA1463 protein,A_24_P68162,NM_173602,0.85,823
COL9A3,"collagen, type IX, alpha 3",A_23_P40108,NM_001853,0.84,824
HIST1H4L,"histone 1, H4l",A_23_P70480,NM_003546,1.16,825
BM989848,,A_32_P3021,b,1.17,826
FLJ42342,hypothetical gene supported by AK124333,A_32_P132860,b,1.17,827
BQ049338,,A_32_P58215,b,1.18,828
A_24_P25040,,A_24_P25040,0,1.17,829
C16orf30,chromosome 16 open reading frame 30,A_23_P37685,NM_024600,NA,830
C22orf5,chromosome 22 open reading frame 5,A_23_P17870,NM_012264,0.84,831
GEM,GTP binding protein overexpressed in skeletal muscle,A_23_P257043,NM_005261,1.18,832
GALM,galactose mutarotase (aldose 1-epimerase),A_23_P67971,NM_138801,1.19,833
CD38,CD38 antigen (p45),A_23_P167328,NM_001775,0.81,834
HIST1H2BJ,"histone 1, H2bj",A_24_P55148,NM_021058,0.84,835
RASA4,RAS p21 protein activator 4,A_24_P943263,NM_006989,1.17,836
HTR2B,5-hydroxytryptamine (serotonin) receptor 2B,A_23_P16953,NM_000867,NA,837
LOC400566,hypothetical gene supported by AK128660,A_24_P624439,NM_001013672,1.13,838
A_24_P798431,,A_24_P798431,0,1.17,839
LAMB3,"laminin, beta 3",A_23_P86012,NM_001017402,1.18,840
FZD5,frizzled homolog 5 (Drosophila),A_23_P397999,NM_003468,0.82,841
LAT,linker for activation of T cells,A_23_P44105,NM_014387,0.83,842
CLDN10,claudin 10,A_23_P48350,NM_182848,0.84,843
RSN,restin (Reed-Steinberg cell-expressed intermediate filament-associated protein),A_23_P25003,NM_002956,1.18,844
C20orf23,chromosome 20 open reading frame 23,A_23_P28906,b,NA,845
ENST00000338843,,A_23_P202540,ns,1.17,846
FLJ10178,hypothetical protein FLJ10178,A_23_P96369,NM_018015,1.17,847
CCL20,chemokine (C-C motif) ligand 20,A_23_P17065,NM_004591,NA,848
ASCL1,achaete-scute complex-like 1 (Drosophila),A_23_P25305,NM_004316,0.84,849
PRKCA,"protein kinase C, alpha",A_24_P916496,NM_002737,NA,850
XBP1,X-box binding protein 1,A_24_P100228,NM_005080,0.85,851
HBD,"hemoglobin, delta",A_24_P75190,NM_000519,0.84,852
THC2286519,,A_32_P206479,hc,1.17,853
FLJ11000,hypothetical protein FLJ11000,A_23_P31177,NM_018295,0.83,854
P2RY1,"purinergic receptor P2Y, G-protein coupled, 1",A_23_P382835,NM_002563,1.18,855
HRIHFB2122,Tara-like protein,A_23_P17855,NM_007032,0.86,856
WASF1,"WAS protein family, member 1",A_23_P168306,NM_003931,1.15,857
SP140,SP140 nuclear body protein,A_24_P328504,NM_007237,1.17,858
TNFRSF7,"tumor necrosis factor receptor superfamily, member 7",A_23_P48088,NM_001242,0.83,859
GBP4,guanylate binding protein 4,A_23_P103496,NM_052941,1.14,860
TPM2,tropomyosin 2 (beta),A_23_P20566,NM_213674,0.85,861
AF088004,,A_24_P880000,b,0.85,862
LOC391566,similar to Histone H2B.n (H2B/n) (H2B.2),A_24_P152345,XM_373001,0.84,863
AK124953,,A_24_P649327,b,1.18,864
IMP-1,IGF-II mRNA-binding protein 1,A_23_P343954,NM_006546,NA,865
BC065260,,A_23_P320478,b,0.84,866
DNAJC18,"DnaJ (Hsp40) homolog, subfamily C, member 18",A_23_P123987,NM_152686,1.17,867
CPM,carboxypeptidase M,A_23_P162668,NM_001874,NA,868
A_24_P706752,,A_24_P706752,0,1.16,869
MGC13057,hypothetical protein MGC13057,A_23_P17130,NM_032321,0.82,870
SCML1,sex comb on midleg-like 1 (Drosophila),A_24_P108863,NM_006746,NA,871
A_24_P917810,,A_24_P917810,0,0.83,872
SLC8A3,"solute carrier family 8 (sodium-calcium exchanger), member 3",A_24_P167654,NM_183002,1.12,873
HIST1H2AH,"histone 1, H2ah",A_23_P81859,NM_080596,0.85,874
DDR1,"discoidin domain receptor family, member 1",A_24_P123601,NM_013994,1.17,875
RABGAP1L,RAB GTPase activating protein 1-like,A_24_P333525,NM_014857,1.17,876
IL27RA,"interleukin 27 receptor, alpha",A_23_P27606,NM_004843,0.84,877
STK38L,serine/threonine kinase 38 like,A_23_P64743,NM_015000,1.17,878
FLJ37970,hypothetical protein FLJ37970,A_23_P24389,NM_032251,0.85,879
CCL3L3,chemokine (C-C motif) ligand 3-like 3,A_24_P228130,NM_001001437,0.85,880
AY030238,,A_32_P190404,b,1.17,881
PDE6B,"phosphodiesterase 6B, cGMP-specific, rod, beta (congenital stationary night blindness 3, autosomal dominant)",A_23_P22143,NM_000283,1.15,882
IL23A,"interleukin 23, alpha subunit p19",A_23_P76078,NM_016584,1.17,883
LOC441047,"similar to Adenylate kinase isoenzyme 4, mitochondrial (ATP-AMP transphosphorylase)",A_24_P367249,XM_496720,NA,884
ANXA2P1,annexin A2 pseudogene 1,A_24_P204244,NR_001562,0.84,885
ACTR3B,ARP3 actin-related protein 3 homolog B (yeast),A_23_P123193,NM_020445,1.16,886
THC2280549,,A_32_P66881,hc,0.83,887
USP36,ubiquitin specific protease 36,A_23_P352957,NM_025090,1.15,888
FNDC3B,fibronectin type III domain containing 3B,A_24_P223124,NM_022763,0.85,889
BC068044,,A_24_P544661,b,0.84,890
DPP3,dipeptidylpeptidase 3,A_23_P116091,NM_130443,0.85,891
BC064610,,A_24_P90022,b,0.84,892
CDC42BPA,CDC42 binding protein kinase alpha (DMPK-like),A_24_P205458,NM_003607,0.83,893
KIAA2022,KIAA2022 protein,A_32_P169505,NM_001008537,1.15,894
TRAF1,TNF receptor-associated factor 1,A_24_P89891,NM_005658,1.17,895
THRAP2,thyroid hormone receptor associated protein 2,A_23_P47991,NM_015335,1.16,896
CASP8,"caspase 8, apoptosis-related cysteine protease",A_24_P157087,NM_033356,0.85,897
GBE1,"glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)",A_23_P121082,NM_000158,1.17,898
ITSN1,intersectin 1 (SH3 domain protein),A_23_P252962,NM_001001132,1.18,899
CHST2,carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2,A_23_P40847,NM_004267,1.17,900
A_23_P57836,,A_23_P57836,0,1.18,901
HOXB2,homeo box B2,A_23_P107283,NM_002145,0.81,902
THC2285366,,A_32_P64558,hc,NA,903
GPR34,G protein-coupled receptor 34,A_23_P11201,NM_005300,0.85,904
VPS13A,vacuolar protein sorting 13A (yeast),A_23_P9472,NM_033305,1.16,905
CBX1,chromobox homolog 1 (HP1 beta homolog Drosophila ),A_24_P298174,NM_006807,1.16,906
FLJ14154,hypothetical protein FLJ14154,A_23_P89113,NM_024845,NA,907
BG547557,,A_23_P384355,b,0.83,908
BX648200,,A_23_P111525,b,0.84,909
HIST1H2AG,"histone 1, H2ag",A_24_P303354,NM_021064,0.85,910
HSD17B12,hydroxysteroid (17-beta) dehydrogenase 12,A_23_P371933,b,1.13,911
THC2428713,,A_24_P671875,hc,0.85,912
PYGL,"phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)",A_23_P48676,NM_002863,0.88,913
CCL3L3,chemokine (C-C motif) ligand 3-like 3,A_23_P321920,NM_001001437,0.85,914
CAMLG,calcium modulating ligand,A_24_P234856,NM_001745,1.16,915
GSTM3,glutathione S-transferase M3 (brain),A_24_P914434,NM_000849,1.13,916
CAPN2,"calpain 2, (m/II) large subunit",A_23_P23924,NM_001748,0.86,917
GPM6A,glycoprotein M6A,A_23_P121545,NM_201591,NA,918
LOXL3,lysyl oxidase-like 3,A_24_P88763,NM_032603,1.16,919
TMPRSS3,"transmembrane protease, serine 3",A_23_P80162,NM_032405,1.10,920
SLC7A11,"solute carrier family 7, (cationic amino acid transporter, y+ system) member 11",A_32_P165477,b,0.85,921
FLJ25323,FLJ25323 protein,A_24_P15630,NM_198521,0.82,922
TCF7,"transcription factor 7 (T-cell specific, HMG-box)",A_23_P7582,NM_003202,1.18,923
GRPR,gastrin-releasing peptide receptor,A_24_P357266,NM_005314,0.84,924
RBPMS,RNA binding protein with multiple splicing,A_23_P71316,NM_001008712,0.84,925
APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)",A_23_P10701,NM_173075,0.83,926
ADRB2,"adrenergic, beta-2-, receptor, surface",A_23_P145024,NM_000024,0.84,927
PLA1A,phospholipase A1 member A,A_24_P294408,NM_015900,0.84,928
THC2304714,,A_24_P726336,hc,NA,929
IFIT1,interferon-induced protein with tetratricopeptide repeats 1,A_23_P52266,NM_001548,0.84,930
GSTM3,glutathione S-transferase M3 (brain),A_23_P12343,NM_000849,1.14,931
PTGIR,prostaglandin I2 (prostacyclin) receptor (IP),A_23_P340848,NM_000960,1.17,932
HIST1H4H,"histone 1, H4h",A_23_P323685,NM_003543,0.92,933
AK123704,,A_23_P309619,b,0.84,934
EVER1,epidermodysplasia verruciformis 1,A_24_P152743,b,0.85,935
A_24_P170283,,A_24_P170283,0,1.14,936
IGFBP2,"insulin-like growth factor binding protein 2, 36kDa",A_23_P119943,NM_000597,1.17,937
TNRC8,trinucleotide repeat containing 8,A_32_P168464,b,0.82,938
HLA-DRB6,"major histocompatibility complex, class II, DR beta 6 (pseudogene)",A_24_P169013,NR_001298,1.03,939
MNDA,myeloid cell nuclear differentiation antigen,A_23_P137935,NM_002432,1.16,940
AK123722,,A_24_P783122,b,0.85,941
AK023660,,A_32_P217261,b,1.13,942
BRCA2,"breast cancer 2, early onset",A_23_P99452,NM_000059,0.85,943
B4GALT3,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3",A_23_P103919,NM_003779,0.85,944
SLC43A3,"solute carrier family 43, member 3",A_23_P358548,NM_199329,1.10,945
THC2313022,,A_32_P115258,hc,1.11,946
MOXD1,"monooxygenase, DBH-like 1",A_23_P31064,NM_015529,1.13,947
LCP2,lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa),A_23_P30547,NM_005565,1.16,948
CAMP,cathelicidin antimicrobial peptide,A_23_P253791,NM_004345,1.11,949
A_23_P252892,,A_23_P252892,0,NA,950
SFRS6,"splicing factor, arginine/serine-rich 6",A_32_P11786,NM_006275,0.85,951
GABRA3,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",A_23_P125618,NM_000808,0.84,952
LOC284120,hypothetical LOC284120,A_23_P250516,XM_211339,1.15,953
SWAP70,SWAP-70 protein,A_23_P116533,NM_015055,1.16,954
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_24_P731648,NM_004694,0.84,955
GRM8,"glutamate receptor, metabotropic 8",A_32_P8221,NM_000845,0.83,956
A_24_P247596,,A_24_P247596,0,1.15,957
FUCA1,"fucosidase, alpha-L- 1, tissue",A_23_P11543,NM_000147,1.17,958
KIAA1324L,KIAA1324-like,A_23_P320242,NM_152748,1.16,959
IRS2,insulin receptor substrate 2,A_24_P154037,NM_003749,NA,960
TLL2,tolloid-like 2,A_23_P404778,NM_012465,1.18,961
AF264625,,A_24_P119246,b,0.89,962
BANK1,B-cell scaffold protein with ankyrin repeats 1,A_23_P10232,NM_017935,1.13,963
SPRED1,"sprouty-related, EVH1 domain containing 1",A_24_P107859,NM_152594,0.84,964
LOC123688,similar to RIKEN cDNA C630028N24 gene,A_24_P602507,NM_001013619,1.16,965
DKFZP564C152,DKFZP564C152 protein,A_23_P336728,b,NA,966
ENST00000310974,,A_23_P394448,ns,0.84,967
PCM1,pericentriolar material 1,A_24_P135167,NM_006197,1.15,968
FAM46C,"family with sequence similarity 46, member C",A_24_P935893,NM_017709,NA,969
ITM1,integral membrane protein 1,A_23_P104734,NM_152713,0.85,970
FLJ33674,hypothetical protein FLJ33674,A_23_P80626,NM_207351,1.16,971
SLC2A5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5",A_23_P160159,NM_003039,1.16,972
A_24_P934306,,A_24_P934306,0,0.86,973
THC2283371,,A_24_P917819,hc,1.17,974
CR603195,,A_24_P694760,b,0.85,975
DOCK4,dedicator of cytokinesis 4,A_23_P59637,b,0.85,976
IL28RA,"interleukin 28 receptor, alpha (interferon, lambda receptor)",A_23_P74112,NM_170743,1.16,977
U78519,,A_24_P898945,b,1.15,978
ANKRD11,ankyrin repeat domain 11,A_23_P3632,NM_013275,1.15,979
RB1,retinoblastoma 1 (including osteosarcoma),A_23_P204850,NM_000321,0.84,980
FLJ25371,hypothetical protein FLJ25371,A_32_P190737,b,0.83,981
ZYG11A,zyg-11 homolog A (C. elegans),A_32_P132589,NM_001004339,1.15,982
SOCS2,suppressor of cytokine signaling 2,A_23_P128215,NM_003877,1.17,983
UNC93B1,unc-93 homolog B1 (C. elegans),A_23_P98167,NM_030930,0.85,984
RKHD3,ring finger and KH domain containing 3,A_23_P163440,NM_032246,0.85,985
A_24_P821693,,A_24_P821693,0,1.13,986
AA714039,,A_32_P168756,b,1.15,987
TNFRSF19,"tumor necrosis factor receptor superfamily, member 19",A_24_P56310,NM_148957,NA,988
FLJ10980,hypothetical protein FLJ10980,A_23_P99853,NM_019600,0.85,989
H3F3A,"H3 histone, family 3A",A_24_P590537,NM_002107,0.85,990
DLL3,delta-like 3 (Drosophila),A_24_P57047,NM_203486,1.15,991
LOC150763,hypothetical protein LOC150763,A_23_P68240,b,0.86,992
SSFA2,sperm specific antigen 2,A_24_P924040,NM_006751,0.85,993
ENST00000334218,,A_24_P944299,ns,0.84,994
KCNV1,"potassium channel, subfamily V, member 1",A_23_P146125,NM_014379,NA,995
HSD17B12,hydroxysteroid (17-beta) dehydrogenase 12,A_24_P392774,NM_016142,0.88,996
CBX1,chromobox homolog 1 (HP1 beta homolog Drosophila ),A_23_P107507,NM_006807,1.15,997
MICAL2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",A_23_P24843,NM_014632,0.84,998
A_32_P162322,,A_32_P162322,0,1.16,999
SAV1,salvador homolog 1 (Drosophila),A_24_P287473,NM_021818,1.15,1000
TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10",A_23_P121253,NM_003810,0.84,1001
BCAT1,"branched chain aminotransferase 1, cytosolic",A_24_P935986,NM_005504,1.15,1002
TCF2,"transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor",A_23_P207557,NM_006481,0.85,1003
ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,A_23_P207766,NM_004309,0.85,1004
THRAP5,thyroid hormone receptor associated protein 5,A_23_P56170,NM_005481,0.85,1005
SLC25A24,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24",A_23_P74799,NM_213651,0.89,1006
XCL2,chemokine (C motif) ligand 2,A_23_P51534,NM_003175,0.89,1007
MGC17839,hypothetical protein MGC17839,A_23_P329890,NM_174926,1.14,1008
LRP10,low density lipoprotein receptor-related protein 10,A_24_P99216,NM_014045,0.86,1009
ZFP36L2,"zinc finger protein 36, C3H type-like 2",A_23_P101960,NM_006887,0.86,1010
ENST00000330777,,A_23_P250212,ns,1.16,1011
BC041913,,A_32_P63086,b,0.85,1012
BX099371,,A_32_P169550,b,0.85,1013
A_32_P95067,,A_32_P95067,0,1.15,1014
OGDHL,oxoglutarate dehydrogenase-like,A_23_P161297,NM_018245,1.16,1015
GAS5,growth arrest-specific 5,A_32_P230828,b,1.15,1016
CFLAR,CASP8 and FADD-like apoptosis regulator,A_23_P209394,b,1.15,1017
ENST00000355263,,A_24_P85619,ns,1.14,1018
THC2438720,,A_32_P181548,hc,1.13,1019
MLF1,myeloid leukemia factor 1,A_23_P143906,NM_022443,1.15,1020
UGT2B7,"UDP glucuronosyltransferase 2 family, polypeptide B7",A_23_P136671,NM_001074,0.85,1021
A_24_P910169,,A_24_P910169,0,0.85,1022
ZNF629,zinc finger protein 629,A_23_P163816,b,0.82,1023
ABCA5,"ATP-binding cassette, sub-family A (ABC1), member 5",A_23_P78018,NM_018672,1.16,1024
FLJ20152,hypothetical protein FLJ20152,A_23_P167599,NM_019000,0.85,1025
LAPTM4B,lysosomal associated protein transmembrane 4 beta,A_24_P180680,NM_018407,0.91,1026
KIAA1656,KIAA1656 protein,A_32_P378035,b,1.07,1027
THC2358845,,A_32_P133038,hc,1.16,1028
AL522024,,A_32_P181443,b,1.08,1029
PRKAR2A,"protein kinase, cAMP-dependent, regulatory, type II, alpha",A_24_P943335,b,NA,1030
AK096715,,A_24_P135628,b,0.85,1031
FAM38B,"family with sequence similarity 38, member B",A_23_P130376,NM_022068,1.14,1032
DUSP6,dual specificity phosphatase 6,A_23_P139704,NM_001946,0.85,1033
RPL37,ribosomal protein L37,A_24_P371738,NM_000997,NA,1034
DDC,dopa decarboxylase (aromatic L-amino acid decarboxylase),A_23_P145644,NM_000790,NA,1035
CD33,CD33 antigen (gp67),A_23_P331748,NM_001772,1.14,1036
AF289562,,A_24_P128361,b,0.82,1037
G1P3,"interferon, alpha-inducible protein (clone IFI-6-16)",A_23_P201459,NM_022873,0.84,1038
AK128476,,A_23_P136026,b,0.92,1039
C14orf113,chromosome 14 open reading frame 113,A_23_P2901,b,NA,1040
THC2278542,,A_24_P602871,hc,0.83,1041
CASC2,cancer susceptibility candidate 2,A_32_P170621,NM_201377,1.12,1042
Cep70,p10-binding protein,A_32_P757733,NM_024491,NA,1043
FAM80A,"family with sequence similarity 80, member A",A_23_P349406,NM_173642,1.13,1044
PLS3,plastin 3 (T isoform),A_23_P250607,NM_005032,NA,1045
SFTPD,"surfactant, pulmonary-associated protein D",A_32_P107617,NM_003019,0.85,1046
SNF1LK,SNF1-like kinase,A_23_P132115,NM_173354,0.85,1047
ARL4,ADP-ribosylation factor-like 4,A_23_P145761,NM_005738,0.82,1048
TACC2,"transforming, acidic coiled-coil containing protein 2",A_23_P127186,NM_206862,0.86,1049
C9orf21,chromosome 9 open reading frame 21,A_24_P169343,NM_153698,0.84,1050
KIAA0870,KIAA0870 protein,A_32_P175301,NM_014957,1.16,1051
TRPS1,trichorhinophalangeal syndrome I,A_23_P134755,NM_014112,0.84,1052
CACNB4,"calcium channel, voltage-dependent, beta 4 subunit",A_23_P209227,NM_001005747,0.87,1053
B3GTL,beta 3-glycosyltransferase-like,A_24_P832426,b,0.84,1054
HLA-DOB,"major histocompatibility complex, class II, DO beta",A_23_P30736,NM_002120,1.16,1055
GAS7,growth arrest-specific 7,A_24_P82466,NM_201433,0.85,1056
BM664367,,A_32_P158433,b,0.86,1057
LTB4DH,leukotriene B4 12-hydroxydehydrogenase,A_23_P157809,NM_012212,1.15,1058
THC2405554,,A_24_P450560,hc,0.86,1059
JUN,v-jun sarcoma virus 17 oncogene homolog (avian),A_23_P201538,NM_002228,1.11,1060
RFP,ret finger protein,A_24_P163405,NM_030950,0.86,1061
THC2352042,,A_23_P108394,hc,1.15,1062
NKD2,naked cuticle homolog 2 (Drosophila),A_23_P41804,NM_033120,1.14,1063
MGC4170,MGC4170 protein,A_23_P204380,NM_024312,0.85,1064
ENST00000307840,,A_23_P350782,ns,0.90,1065
THOC4,THO complex 4,A_24_P387158,NM_005782,0.89,1066
GNG2,"guanine nucleotide binding protein (G protein), gamma 2",A_32_P208403,NM_053064,1.15,1067
NCOA1,nuclear receptor coactivator 1,A_23_P39602,NM_147233,0.85,1068
FCRL4,Fc receptor-like 4,A_23_P115201,NM_031282,0.85,1069
LOC441428,hypothetical gene supported by BX641014,A_32_P66934,b,1.15,1070
JDP2,jun dimerization protein 2,A_23_P117582,NM_130469,1.16,1071
IFNGR1,interferon gamma receptor 1,A_23_P8281,NM_000416,1.14,1072
ENST00000361989,,A_32_P183904,ns,1.16,1073
MYL4,"myosin, light polypeptide 4, alkali; atrial, embryonic",A_24_P188218,NM_002476,0.84,1074
THC2310280,,A_23_P63547,hc,1.12,1075
URP2,UNC-112 related protein 2,A_23_P64044,NM_178443,0.86,1076
BCL2A1,BCL2-related protein A1,A_23_P321703,NM_004049,1.15,1077
MGST3,microsomal glutathione S-transferase 3,A_23_P51548,NM_004528,0.85,1078
PRKD3,protein kinase D3,A_23_P108574,NM_005813,1.15,1079
THC2404289,,A_32_P196896,hc,1.16,1080
SYTL1,synaptotagmin-like 1,A_23_P46390,NM_032872,0.85,1081
FLJ32894,hypothetical protein FLJ32894,A_23_P408175,NM_144667,1.16,1082
BID,BH3 interacting domain death agonist,A_24_P187948,NM_197966,1.15,1083
MYH9,"myosin, heavy polypeptide 9, non-muscle",A_23_P57497,NM_002473,0.87,1084
AASDH,2-aminoadipic 6-semialdehyde dehydrogenase,A_24_P307195,NM_181806,1.15,1085
A_24_P204334,,A_24_P204334,0,1.13,1086
TRIM14,tripartite motif-containing 14,A_24_P197964,NM_014788,1.15,1087
C2orf31,chromosome 2 open reading frame 31,A_23_P108437,b,0.83,1088
ADCY6,adenylate cyclase 6,A_23_P501547,NM_015270,NA,1089
ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",A_23_P379789,NM_013305,0.85,1090
AW205591,,A_32_P18475,b,1.14,1091
A_32_P181339,,A_32_P181339,0,NA,1092
CBX7,chromobox homolog 7,A_24_P19410,NM_175709,1.15,1093
ENST00000260303,,A_23_P1761,ns,0.85,1094
AK092698,,A_24_P341000,b,1.10,1095
CD24,CD24 antigen (small cell lung carcinoma cluster 4 antigen),A_23_P85250,NM_013230,0.85,1096
OTUD1,OTU domain containing 1,A_24_P374834,b,0.85,1097
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",A_24_P196827,NM_002122,0.94,1098
ZNF395,zinc finger protein 395,A_24_P128001,NM_018660,1.15,1099
MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA),A_24_P497244,b,0.86,1100
AK057167,,A_24_P579984,b,1.15,1101
SH3TC1,SH3 domain and tetratricopeptide repeats 1,A_23_P41390,NM_018986,0.86,1102
