Gene,Locus,Log2 Fold Change,p value,q value
CYTH3,chr7:6201411-6312242,-0.416556,0.0006,0.00801227
GRAMD4,chr22:47022657-47075688,-0.416292,0.00215,0.0216325
MAP4,chr3:47892179-48130769,-0.41627,0.0005,0.00693943
MIDN,chr19:1248551-1259142,-0.415777,0.00255,0.024596
CYGB,chr17:74523429-74541458,-0.41568,0.00435,0.0371314
NFIX,chr19:13106583-13209610,-0.414539,0.00305,0.0282504
ARHGEF17,chr11:73019662-73080425,-0.414454,0.0008,0.0100173
UNC5B,chr10:72972291-73062635,-0.414162,0.0004,0.0058565
SMAP2,chr1:40839377-40888998,-0.414102,0.0053,0.0429659
HS6ST1,chr2:129023053-129076171,-0.413939,0.0007,0.00908748
DDR2,chr1:162602227-162750247,-0.413626,0.00055,0.00749009
TUBB,chr6_ssto_hap7:2020463-2025502,-0.412702,0.0031,0.0285716
KIAA0196,chr8:126036502-126104061,-0.412577,0.00045,0.00638804
PRRC2B,chr9:134305476-134375575,-0.412554,0.00045,0.00638804
MLLT1,chr19:6210391-6279959,-0.411981,0.0008,0.0100173
HIST1H2AI,chr6:27775976-27776445,-0.411885,0.00035,0.00530278
SORT1,chr1:109852187-109940563,-0.411752,0.00065,0.00854024
YWHAG,chr7:75956107-75988342,-0.410725,0.00025,0.00400613
UBE2Q1,chr1:154521050-154531120,-0.410392,0.0004,0.0058565
GNAI1,chr7:79764139-79848725,-0.409231,0.00045,0.00638804
ARHGAP35,chr19:47421932-47508333,-0.408714,0.0004,0.0058565
FNBP1,chr9:132649465-132805473,-0.408251,0.0025,0.0242031
S100A6,chr1:153507075-153508717,-0.407405,0.0005,0.00693943
FAM171B,chr2:187558788-187628512,-0.407344,0.0014,0.0155081
SUMO2,chr17:73163824-73179098,-0.407141,0.0004,0.0058565
ANGEL2,chr1:213165523-213189168,-0.407091,0.0008,0.0100173
PJA1,chrX:68380580-68385365,-0.406997,0.00185,0.0193909
MAN2A1,chr5:109025155-109203429,-0.406673,0.00095,0.011435
TMOD3,chr15:52121824-52204331,-0.405897,0.00045,0.00638804
SLC44A2,chr19:10713120-10755235,-0.405774,0.00245,0.0239141
ATP8B2,chr1:154298035-154323780,-0.405553,0.00285,0.026855
CMKLR1,chr12:108681820-108733094,-0.403963,0.00645,0.0494059
UACA,chr15:70946892-71055850,-0.403677,0.00045,0.00638804
BCAT1,chr12:24962957-25102393,-0.403053,0.0004,0.0058565
TET1,chr10:70320116-70454239,-0.40302,0.0007,0.00908748
SOGA1,chr20:35405844-35492087,-0.401323,0.00235,0.0231107
LRP5,chr11:68080107-68216743,-0.400625,0.0013,0.0146869
GARS,chr7:30634180-30673648,-0.400349,0.0006,0.00801227
NANOS1,chr10:120789227-120793854,-0.400233,0.0065,0.0496433
DLG5,chr10:79550548-79686348,-0.399031,0.00025,0.00400613
HID1,chr17:72946838-72968900,-0.397765,0.0062,0.0482263
COPS3,chr17:17149937-17184617,-0.397752,0.0009,0.010985
HIST1H4E,chr6:26204872-26205249,-0.396385,0.00035,0.00530278
SEC62,chr3:169684579-169716161,-0.39604,0.00055,0.00749009
MAPK8,chr10:49609686-49643183,-0.395118,0.0024,0.0234963
MEN1,chr11:64570985-64578766,-0.394944,0.0053,0.0429659
EFNA5,chr5:106712589-107006596,-0.394864,0.00465,0.0389538
NARS,chr18:55267893-55289177,-0.393519,0.00065,0.00854024
PHPT1,chr9:139743255-139745490,-0.392169,0.00335,0.0301939
BRD4,chr19:15348300-15391262,-0.392006,0.00215,0.0216325
SDAD1,chr4:76871067-76912113,-0.391868,0.00115,0.013374
HIST1H3F,chr6:26250369-26250835,-0.390706,0.0006,0.00801227
FBXO18,chr10:5903688-5979558,-0.390453,0.0013,0.0146869
COL6A1,chr21:47401662-47424963,-0.389945,0.00125,0.0142328
GGPS1,chr1:235491752-235507844,-0.389854,0.00475,0.0395631
EBF4,chr20:2673523-2740754,-0.38964,0.0064,0.049225
UBE2H,chr7:129470572-129592800,-0.389584,0.00055,0.00749009
CIRBP,chr19:1267469-1274809,-0.389201,0.00165,0.0176631
EPAS1,chr2:46524540-46613842,-0.389059,0.0007,0.00908748
OTUD5,chrX:48779302-48815648,-0.38902,0.006,0.0470348
CBFA2T2,chr20:32077927-32237837,-0.388008,0.001,0.0119378
PTPN21,chr14:88932121-89021123,-0.387878,0.00225,0.0223971
SLC16A1,chr1:113454469-113498975,-0.387864,0.00085,0.0105223
TCF4,chr18:52889561-53303188,-0.387724,0.0025,0.0242031
MBNL2,chr13:97874549-98046374,-0.387151,0.0008,0.0100173
GDI1,chrX:153665258-153671814,-0.385719,0.001,0.0119378
ZCCHC14,chr16:87439851-87525460,-0.385287,0.0011,0.0128843
MYO18A,chr17:27400527-27507407,-0.385169,0.00385,0.033723
HLTF,chr3:148747903-148820610,-0.384615,0.0008,0.0100173
SSB,chr2:170655321-170681353,-0.384497,0.00395,0.0343684
HIST1H2BC,chr6:26123694-26124132,-0.384366,0.00065,0.00854024
WDR35,chr2:20110028-20189884,-0.384187,0.0014,0.0155081
RNF157,chr17:74132414-74236390,-0.383599,0.00155,0.0168131
PTTG1IP,chr21:46269499-46293818,-0.383174,0.00045,0.00638804
TNS1,chr2:218664511-218808796,-0.382664,0.00155,0.0168131
DNAJC16,chr1:15853351-15911605,-0.382408,0.00395,0.0343684
CDC37,chr19:10501808-10514271,-0.382017,0.0007,0.00908748
PLA2G12A,chr4:110631144-110651242,-0.38158,0.00545,0.0438552
H1F0,chr22:38201113-38203443,-0.381542,0.0011,0.0128843
TUBB3,chr16:89988416-90002505,-0.38138,0.0005,0.00693943
SALL2,chr14:21989231-22005337,-0.381339,0.00445,0.0377628
SACS,chr13:23902964-24007841,-0.381252,0.0013,0.0146869
RTN4,chr2:55199326-55277734,-0.38104,0.0017,0.0181241
TRIB2,chr2:12856997-12882858,-0.380613,0.0022,0.0220337
NEK4,chr3:52744795-52804965,-0.379619,0.0039,0.0340468
ZNF678,chr1:227751219-227850164,-0.379565,0.00465,0.0389538
UNC5D,chr8:35092974-35652181,-0.379157,0.0034,0.0305392
ANKRD26,chr10:27293044-27389427,-0.379111,0.00345,0.0308821
UBTD2,chr5:171636649-171710795,-0.378941,0.00165,0.0176631
ATCAY,chr19:3880617-3928080,-0.378368,0.00115,0.013374
TMTC4,chr13:101256089-101327103,-0.377804,0.0034,0.0305392
UBAC1,chr9:138824814-138853226,-0.377631,0.00235,0.0231107
TFAP2B,chr6:50786438-50815326,-0.376963,0.0009,0.010985
GALNT10,chr5:153570294-153825382,-0.376854,0.0015,0.0163933
JUN,chr1:59246462-59249785,-0.376753,0.0033,0.0299084
ATF2,chr2:175936977-176032934,-0.376266,0.003,0.0279259
DUT,chr15:48623620-48635570,-0.37625,0.00225,0.0223971
DFFA,chr1:10520602-10532613,-0.376182,0.00355,0.0315824
CENPF,chr1:214776531-214837914,-0.375873,0.0014,0.0155081
IGFBPL1,chr9:38406524-38424444,-0.375545,0.0006,0.00801227
TUBA1A,chr12:49578577-49583107,-0.375439,0.0025,0.0242031
STAM,chr10:17686123-17758821,-0.375217,0.0053,0.0429659
GPD1L,chr3:32148002-32210207,-0.37479,0.0056,0.0446768
CCSAP,chr1:229456751-229478688,-0.374653,0.00155,0.0168131
ZNF462,chr9:109625377-109848716,-0.37461,0.00075,0.00960294
HIST1H4H,chr6:26285353-26285727,-0.373453,0.00145,0.0159001
IQGAP3,chr1:156495196-156542396,-0.373281,0.00275,0.02612
STOM,chr9:124101265-124132582,-0.373135,0.00505,0.0414799
EFR3A,chr8:132916355-133025886,-0.372434,0.00295,0.0275587
GPR155,chr2:175296299-175351816,-0.372344,0.0053,0.0429659
FOXK2,chr17:80477593-80562483,-0.372238,0.0015,0.0163933
PRMT1,chr19:50180408-50191707,-0.372207,0.0012,0.0137958
LGALS1,chr22:38071612-38075809,-0.372023,0.00135,0.015173
ST6GALNAC6,chr9:130647600-130661871,-0.37086,0.00645,0.0494059
TEAD1,chr11:12695968-12966284,-0.370854,0.0009,0.010985
DAG1,chr3:49506135-49573051,-0.370523,0.00135,0.015173
SRRM2,chr16:2787076-2821413,-0.370307,0.00165,0.0176631
VPS26B,chr11:134094560-134117686,-0.370222,0.00155,0.0168131
TSC22D1,chr13:45006278-45154568,-0.369945,0.0038,0.033397
SLC38A2,chr12:46751970-46766645,-0.369461,0.00195,0.0202119
SLC25A13,chr7:95749531-95951459,-0.369369,0.0016,0.017298
VAT1L,chr16:77822482-78014001,-0.368121,0.00365,0.032318
KIFAP3,chr1:169890469-170043879,-0.367993,0.0049,0.0405539
SMIM15,chr5:60453535-60458302,-0.367964,0.00175,0.0185813
FMNL2,chr2:153191750-153506348,-0.367352,0.0014,0.0155081
ABR,chr17:906757-1090616,-0.367224,0.00185,0.0193909
ROBO1,chr3:78646387-79817059,-0.367108,0.00165,0.0176631
TMEM131,chr2:98372800-98612354,-0.367061,0.0048,0.0398525
TTBK2,chr15:43036541-43213007,-0.367054,0.0035,0.0312654
SURF4,chr9:136228339-136242970,-0.365935,0.0008,0.0100173
SPOP,chr17:47676245-47755525,-0.365783,0.00505,0.0414799
MTHFD1,chr14:64854758-64926725,-0.36558,0.00265,0.0253918
COL18A1,chr21:46825096-46933634,-0.365506,0.0018,0.019004
RCN2,chr15:77223961-77242601,-0.3654,0.00175,0.0185813
FOXK1,chr7:4721929-4811074,-0.364998,0.0016,0.017298
HIST3H2BB,chr1:228645807-228646259,-0.363847,0.0038,0.033397
KANK2,chr19:11274942-11308243,-0.363291,0.0027,0.0257575
ASNSD1,chr2:190526124-190535557,-0.362408,0.0034,0.0305392
FBN1,chr15:48700502-48937985,-0.361516,0.00275,0.02612
PTPRK,chr6:128289923-128841870,-0.36091,0.00625,0.0483847
GNG4,chr1:235710984-235814054,-0.360563,0.00165,0.0176631
MRPL19,chr2:75873908-75889334,-0.360326,0.00235,0.0231107
ATF6,chr1:161736033-161933860,-0.360048,0.0024,0.0234963
HPCAL4,chr1:40144644-40157089,-0.359497,0.00245,0.0239141
EID1,chr15:49115933-49255641,-0.358988,0.00165,0.0176631
TMX3,chr18:66340924-66382353,-0.358851,0.0025,0.0242031
DGCR2,chr22:19023794-19109967,-0.358491,0.0037,0.0326721
EDEM1,chr3:5229358-5261650,-0.35847,0.00305,0.0282504
UCK2,chr1:165796731-165880855,-0.357933,0.00265,0.0253918
RB1,chr13:48877882-49056026,-0.357836,0.0021,0.0213266
MYH10,chr17:8377522-8534079,-0.357691,0.00145,0.0159001
LSAMP,chr3:115521209-116164385,-0.357076,0.0023,0.0227561
CREBL2,chr12:12764830-12798041,-0.356573,0.0049,0.0405539
SYT1,chr12:79257772-79845788,-0.356565,0.0043,0.0367526
DDC,chr7:50526133-50633154,-0.356488,0.0024,0.0234963
DPYSL3,chr5:146770370-146889619,-0.356183,0.0025,0.0242031
TANC1,chr2:159825145-160089170,-0.356129,0.00185,0.0193909
MAML3,chr4:140586921-141075233,-0.356045,0.0033,0.0299084
SLC35F6,chr2:26987141-27004099,-0.354787,0.0045,0.0380142
STRN,chr2:37064840-37193615,-0.35424,0.0023,0.0227561
LDLRAD4,chr18:13218728-13652753,-0.35345,0.0065,0.0496433
CDC16,chr13:115000361-115038150,-0.352887,0.0053,0.0429659
ASCC3,chr6:100956607-101329224,-0.352675,0.00335,0.0301939
CPSF7,chr11:61170119-61197464,-0.352377,0.0029,0.0272083
MDN1,chr6:90353230-90529442,-0.352094,0.0016,0.017298
SPTBN1,chr2:54683453-54898583,-0.35148,0.00335,0.0301939
POLR3D,chr8:22102618-22108680,-0.351239,0.0048,0.0398525
CCDC117,chr22:29168661-29185283,-0.351179,0.0048,0.0398525
CDK6,chr7:92234234-92465941,-0.349832,0.00285,0.026855
ANO6,chr12:45566816-45834187,-0.349437,0.00295,0.0275587
POGK,chr1:166808723-166823709,-0.349117,0.00345,0.0308821
GTF2I,chr7:74072029-74175022,-0.349107,0.0021,0.0213266
HIST1H3G,chr6:26271145-26271612,-0.34884,0.002,0.0206319
HIST1H2BG,chr6:26216427-26216872,-0.348362,0.0022,0.0220337
ASXL1,chr20:30946146-31027122,-0.348163,0.00425,0.0364206
VPS51,chr11:64863586-64879332,-0.348136,0.00395,0.0343684
RGS4,chr1:163038395-163046592,-0.347894,0.00555,0.0444136
RAB7A,chr3:128444978-128533641,-0.347621,0.0035,0.0312654
ADCY1,chr7:45614124-45762714,-0.347185,0.0039,0.0340468
AKAP1,chr17:55162552-55198710,-0.344797,0.00535,0.0432906
FAM208A,chr3:56591183-56717135,-0.344328,0.0041,0.035414
PRDM4,chr12:108126642-108154914,-0.343872,0.00475,0.0395631
CDC42,chr1:22379119-22419436,-0.342134,0.003,0.0279259
SEC23IP,chr10:121652084-121704170,-0.341973,0.00285,0.026855
PPP1R10,chr6_ssto_hap7:1900455-1917363,-0.341105,0.0063,0.0485702
AGPAT5,chr8:6565877-6619021,-0.340229,0.00225,0.0223971
DZIP1,chr13:96085852-96296960,-0.339789,0.0043,0.0367526
TXNL4A,chr18:77732866-77748532,-0.338918,0.00615,0.047923
YWHAB,chr20:43514343-43537161,-0.338522,0.0026,0.0250044
AP2A2,chr11:925808-1012245,-0.338369,0.0065,0.0496433
TRAM1,chr8:71485452-71520694,-0.336586,0.00275,0.02612
MAP3K2,chr2:128056244-128100805,-0.335921,0.0045,0.0380142
IREB2,chr15:78730517-78793798,-0.335742,0.003,0.0279259
ZMYM4,chr1:35734567-35887545,-0.334317,0.00375,0.0330466
CBS,chr21:44473300-44496472,-0.332349,0.0046,0.0386341
UGGT1,chr2:128848753-128953249,-0.332339,0.00415,0.0357278
MARK3,chr14:103851700-103970166,-0.331933,0.0043,0.0367526
RIF1,chr2:152266396-152333860,-0.33086,0.00445,0.0377628
CREBBP,chr16:3775055-3930121,-0.330605,0.00565,0.0449659
ZBTB33,chrX:119384606-119392251,-0.327503,0.00605,0.0472849
RABGAP1,chr9:125703287-125867147,-0.326985,0.0047,0.0392719
HIST1H2AL,chr6:27833106-27833576,-0.326978,0.00615,0.047923
HMP19,chr5:173472606-173536182,-0.326291,0.00615,0.047923
PTPLAD1,chr15:65822826-65870693,-0.326045,0.00445,0.0377628
MYO1B,chr2:192110106-192290115,-0.325168,0.0045,0.0380142
SLC4A7,chr3:27414211-27525911,-0.324871,0.0046,0.0386341
TMEM106B,chr7:12250847-12276890,-0.324577,0.00395,0.0343684
XPOT,chr12:64798152-64842463,-0.324066,0.0036,0.0319619
RAD21,chr8:117858172-117889107,-0.322955,0.00505,0.0414799
LARP4B,chr10:852853-977645,-0.322485,0.0063,0.0485702
ZFHX4,chr8:77523113-77779521,-0.322272,0.0059,0.0464461
DHTKD1,chr10:12110933-12165224,-0.321947,0.00655,0.0498793
PCNX,chr14:71374121-71582099,-0.321204,0.00425,0.0364206
DNMT1,chr19:10244021-10305755,-0.320907,0.00465,0.0389538
GOT2,chr16:58741034-58768246,-0.320776,0.0054,0.0435871
PTP4A2,chr1:32372021-32403988,-0.319624,0.00495,0.0408641
TENM4,chr11:78364327-79151695,-0.3192,0.00405,0.0350749
PAIP1,chr5:43526369-43557521,-0.318406,0.00625,0.0483847
ELMOD2,chr4:141445311-141474924,-0.31791,0.00625,0.0483847
ARID1A,chr1:27022521-27108601,-0.317119,0.0059,0.0464461
GCN1L1,chr12:120565013-120632513,-0.314472,0.00545,0.0438552
SMARCE1,chr17:38783975-38804103,-0.312598,0.0059,0.0464461
LIMA1,chr12:50569562-50677353,-0.308899,0.00595,0.0468114
CD109,chr6:74405507-74538041,-0.308458,0.00645,0.0494059
YME1L1,chr10:27399039-27443349,-0.308418,0.0056,0.0446768
PANK3,chr5:167982627-168006614,-0.303915,0.00655,0.0498793
VDAC1,chr5:133307565-133340824,0.302965,0.0064,0.049225
ACTR3,chr2:114647536-114716167,0.305915,0.0063,0.0485702
VOPP1,chr7:55538305-55640200,0.307068,0.00655,0.0498793
SSR3,chr3:156257928-156272973,0.311787,0.00655,0.0498793
SNRPD2,chr19:46190711-46195443,0.314523,0.0048,0.0398525
ATP5H,chr17:73034954-73043074,0.316399,0.0056,0.0446768
PSMC3,chr11:47440319-47448024,0.318557,0.0065,0.0496433
RRM2,chr2:10262694-10271546,0.318654,0.00485,0.040191
MCL1,chr1:150547026-150552214,0.319857,0.006,0.0470348
DCBLD2,chr3:98514813-98620533,0.32108,0.0045,0.0380142
GCC2,chr2:109065576-109125854,0.322157,0.0046,0.0386341
AP2S1,chr19:47341422-47354203,0.32299,0.00565,0.0449659
ANKRD52,chr12:56623819-56652143,0.325355,0.00515,0.0419844
CSRNP3,chr2:166326156-166545917,0.328203,0.005,0.0411728
RPL35A,chr3:197615945-197686886,0.329075,0.00545,0.0438552
FLOT1,chr6_ssto_hap7:2027817-2042770,0.329084,0.00365,0.032318
BCAP31,chrX:152965946-152990201,0.329347,0.00495,0.0408641
GUCD1,chr22:24936405-24951275,0.330413,0.0054,0.0435871
NDUFB9,chr8:125551342-125562227,0.330536,0.0052,0.0423656
PSMC6,chr14:53173895-53194716,0.330765,0.0056,0.0446768
PDCD6,chr5:271735-438405,0.331084,0.0059,0.0464461
RNF141,chr11:10533224-10562774,0.331509,0.0062,0.0482263
LSM4,chr19:18417039-18434001,0.331892,0.0034,0.0305392
CAMSAP2,chr1:200708685-200829831,0.331985,0.00345,0.0308821
SCHIP1,chr3:158787040-159615155,0.332186,0.00355,0.0315824
ATP5I,chr4:666224-668127,0.332343,0.00415,0.0357278
ATP5O,chr21:35275756-35288158,0.333011,0.00515,0.0419844
COX6C,chr8:100890222-100906242,0.333192,0.0054,0.0435871
JUNB,chr19:12902309-12904125,0.334438,0.00575,0.045595
NAA38,chr7:117824085-117844093,0.334729,0.006,0.0470348
CD46,chr1:207925382-207968861,0.33505,0.00475,0.0395631
KBTBD2,chr7:32907777-32931468,0.335253,0.00295,0.0275587
FAM195B,chr17:79780292-79791167,0.337209,0.00555,0.0444136
FNTA,chr8:42911441-42940932,0.338616,0.00505,0.0414799
COX8A,chr11:63742078-63744015,0.339274,0.00335,0.0301939
PPP2CB,chr8:30643125-30670352,0.339451,0.006,0.0470348
MRPL51,chr12:6601315-6602471,0.339608,0.00355,0.0315824
GALNT2,chr1:230202955-230417875,0.341234,0.00385,0.033723
FUNDC2,chrX:154255063-154285191,0.343079,0.0059,0.0464461
PLEKHB2,chr2:131862419-131907425,0.34388,0.00285,0.026855
CDK16,chrX:47077527-47089394,0.344522,0.0031,0.0285716
ZNF621,chr3:40566375-40581043,0.34533,0.00445,0.0377628
BROX,chr1:222885905-222906106,0.345523,0.00525,0.0427196
TMED2,chr12:124069075-124082688,0.349178,0.00215,0.0216325
ITPRIPL2,chr16:19125253-19132952,0.34999,0.00515,0.0419844
SMURF2,chr17:62540734-62658386,0.351142,0.0023,0.0227561
FURIN,chr15:91411884-91426687,0.35145,0.00625,0.0483847
RNASEH1,chr2:3592690-3605940,0.351467,0.0046,0.0386341
BZW1,chr2:201676268-201688569,0.352572,0.0059,0.0464461
OXCT1,chr5:41730166-41870791,0.352648,0.00355,0.0315824
HINT1,chr5:130494975-130501041,0.353149,0.0019,0.0198353
TMEM30A,chr6:75962637-75994632,0.353262,0.00255,0.024596
SRPRB,chr3:133502876-133540336,0.353264,0.0043,0.0367526
ZNF12,chr7:6728063-6746566,0.355121,0.00225,0.0223971
ARPC5,chr1:183595327-183605076,0.355553,0.00145,0.0159001
B3GALNT2,chr1:235530727-235667781,0.357589,0.0059,0.0464461
DTD1,chr20:18568555-18744560,0.357936,0.00445,0.0377628
SLC39A9,chr14:69865095-69929107,0.358078,0.0039,0.0340468
MESDC2,chr15:81268094-81282205,0.358885,0.00565,0.0449659
NT5C3,chr7:33053724-33102409,0.35932,0.00575,0.045595
SLC39A7,chr6_qbl_hap6:4400825-4404437,0.35954,0.0033,0.0299084
STK39,chr2:168810529-169104105,0.35976,0.0026,0.0250044
SLIRP,chr14:78174413-78183941,0.35995,0.0038,0.033397
ATAD2B,chr2:23971533-24149936,0.360806,0.00325,0.0296197
EIF2S2,chr20:32676114-32700085,0.360903,0.0021,0.0213266
PKP4,chr2:159313475-159537940,0.360908,0.00395,0.0343684
OSTC,chr4:109571740-109588978,0.3614,0.00195,0.0202119
ENTPD4,chr8:23286664-23315244,0.361506,0.00125,0.0142328
ACSL3,chr2:223725731-223808119,0.36161,0.00195,0.0202119
FBXL17,chr5:107194733-107717799,0.361764,0.006,0.0470348
AZIN1,chr8:103838535-103876397,0.362005,0.0015,0.0163933
GULP1,chr2:189156395-189460652,0.362262,0.0021,0.0213266
FGF2,chr4:123747862-123844159,0.363398,0.0051,0.0417592
SNX7,chr1:99127235-99226056,0.363791,0.00285,0.026855
POFUT2,chr21:46683842-46707811,0.36427,0.0051,0.0417592
CLIP4,chr2:29338307-29406679,0.36491,0.00355,0.0315824
BLOC1S6,chr15:45879416-45901909,0.365059,0.00165,0.0176631
TMEM194A,chr12:57449425-57472574,0.365199,0.0029,0.0272083
SYF2,chr1:25548766-25559013,0.365462,0.0042,0.0361106
ZNF83,chr19:53115617-53193886,0.3657,0.006,0.0470348
DCAF11,chr14:24583905-24594451,0.367089,0.0027,0.0257575
AMOTL2,chr3:134074189-134093406,0.367318,0.00245,0.0239141
PDGFC,chr4:157682762-157892546,0.36744,0.0025,0.0242031
COMMD6,chr13:76099349-76111991,0.368986,0.00235,0.0231107
TSTA3,chr8:144694787-144699732,0.371816,0.00625,0.0483847
RASSF3,chr12:65004292-65091347,0.372634,0.00225,0.0223971
EML5,chr14:89081173-89259096,0.373029,0.00155,0.0168131
ZBTB40,chr1:22778343-22857650,0.374021,0.0021,0.0213266
TRIM44,chr11:35684352-35830930,0.374667,0.0008,0.0100173
ABHD5,chr3:43732374-43764217,0.374712,0.00455,0.0383374
SEMA4C,chr2:97525472-97535735,0.374908,0.00515,0.0419844
ERGIC3,chr20:34129777-34145405,0.375137,0.00105,0.0124212
CUL7,chr6:43005354-43021683,0.376519,0.00145,0.0159001
FAM114A1,chr4:38869353-38947365,0.376991,0.0045,0.0380142
HS6ST2,chrX:131760037-132095423,0.377318,0.00145,0.0159001
GAREM,chr18:29843483-30050447,0.377999,0.00335,0.0301939
PSMB6,chr17:4699438-4701798,0.378629,0.00285,0.026855
TTC17,chr11:43380434-43516483,0.382451,0.0007,0.00908748
EPHA2,chr1:16450831-16482582,0.382952,0.00265,0.0253918
GLRX3,chr10:131934638-131978646,0.382968,0.00135,0.015173
TMCO3,chr13:114145307-114204544,0.383464,0.00115,0.013374
TUSC2,chr3:50362340-50365668,0.383814,0.00445,0.0377628
LYPLA1,chr8:54958937-55014577,0.383888,0.00065,0.00854024
MTMR9,chr8:11141999-11185654,0.384235,0.0008,0.0100173
SRSF8,chr11:94800055-94804388,0.384455,0.00345,0.0308821
ZNF468,chr19:53341784-53360902,0.38503,0.00625,0.0483847
MED20,chr6:41873091-41888877,0.385411,0.0057,0.045281
MTHFD2,chr2:74425689-74442424,0.386459,0.00145,0.0159001
CHMP1B,chr18:11689013-11908796,0.386675,0.00215,0.0216325
MAFG,chr17:79876144-79885587,0.386861,0.00165,0.0176631
COL4A2,chr13:110959630-111165373,0.386899,0.00045,0.00638804
MEPCE,chr7:99998494-100031749,0.387318,0.0032,0.0292661
FUCA2,chr6:143815948-143833020,0.389691,0.00185,0.0193909
E2F6,chr2:11584500-11606297,0.389755,0.0016,0.017298
CNN2,chr19:1026297-1039064,0.39005,0.00065,0.00854024
BRK1,chr3:10157332-10168874,0.390284,0.00095,0.011435
ZBTB5,chr9:37438099-37465407,0.391271,0.00145,0.0159001
FAM136A,chr2:70523107-70529220,0.391329,0.0017,0.0181241
HDDC2,chr6:125596495-125623282,0.391385,0.00455,0.0383374
BET1,chr7:93620999-93633690,0.391687,0.00315,0.02891
ATP6V0B,chr1:44440601-44443972,0.392263,0.00175,0.0185813
NDUFB6,chr9:32553523-32573182,0.392459,0.00425,0.0364206
TMA7,chr3:48481685-48485537,0.39363,0.0006,0.00801227
ZNF470,chr19:57078889-57094262,0.39477,0.00605,0.0472849
SLC30A7,chr1:101361631-101447311,0.395072,0.00055,0.00749009
RAB35,chr12:120532898-120554643,0.39523,0.00215,0.0216325
RBCK1,chr20:388708-411610,0.395681,0.00245,0.0239141
HLCS,chr21:38123188-38362545,0.396623,0.0022,0.0220337
C9orf72,chr9:27546542-27573864,0.396773,0.0018,0.019004
EML6,chr2:54952148-55199156,0.39698,0.00515,0.0419844
C1orf63,chr1:25568739-25573985,0.39808,0.0033,0.0299084
SPTY2D1,chr11:18621350-18656020,0.398422,0.0005,0.00693943
ZMAT3,chr3:178735010-178789656,0.398738,0.00045,0.00638804
SDHB,chr1:17345224-17380665,0.399196,0.0014,0.0155081
VPS36,chr13:52986736-53024763,0.400175,0.0006,0.00801227
FANCL,chr2:58273776-58468515,0.400563,0.0029,0.0272083
ERLIN2,chr8:37594096-37615319,0.401834,0.0018,0.019004
B3GAT3,chr11:62382767-62389647,0.401919,0.00235,0.0231107
TOMM5,chr9:37588411-37592636,0.402189,0.00095,0.011435
TRAPPC2,chrX:13730360-13752754,0.402611,0.00195,0.0202119
EXTL3,chr8:28558989-28611207,0.402634,0.0008,0.0100173
MTRF1L,chr6:153308399-153323925,0.402925,0.00095,0.011435
NRBP1,chr2:27651472-27665124,0.403375,0.00025,0.00400613
PSMD14,chr2:162164785-162268228,0.404127,0.00045,0.00638804
ZNF776,chr19:58258163-58269527,0.404632,0.001,0.0119378
MRPL17,chr11:6701615-6704632,0.405171,0.00095,0.011435
ZNF841,chr19:52567718-52599018,0.40544,0.0063,0.0485702
GPR108,chr19:6729924-6737633,0.405648,0.0041,0.035414
MAGEA12,chrX:151895977-151903184,0.407577,0.003,0.0279259
RPA3,chr7:7676574-7918851,0.408617,0.00625,0.0483847
LMBR1L,chr12:49490922-49504680,0.408655,0.00515,0.0419844
NDUFA4,chr7:10971579-10979813,0.408785,0.0003,0.00466429
C12orf75,chr12:105724413-105765296,0.410441,0.0014,0.0155081
PEA15,chr1:160175124-160185162,0.410457,0.00045,0.00638804
MRPS33,chr7:140705960-140714781,0.412045,0.00105,0.0124212
CPE,chr4:166300096-166419482,0.412742,0.0005,0.00693943
STX6,chr1:180942175-180992046,0.413319,0.00095,0.011435
KRTCAP2,chr1:155141883-155145804,0.414253,0.00315,0.02891
DKK3,chr11:11984542-12030917,0.414899,0.0006,0.00801227
RPS19BP1,chr22:39925097-39928860,0.415042,0.0042,0.0361106
PODXL,chr7:131185020-131241376,0.415918,0.0004,0.0058565
ORMDL3,chr17:38077295-38083884,0.416212,0.00215,0.0216325
PRDX4,chrX:23685644-23704514,0.416647,0.00085,0.0105223
TMEM2,chr9:74298281-74383800,0.417898,0.0025,0.0242031
MTIF2,chr2:55463755-55496384,0.418069,0.0008,0.0100173
BTBD3,chr20:11871476-11907243,0.418702,0.0005,0.00693943
MYL12A,chr18:3247527-3256234,0.42003,0.00015,0.002612
PRPF38A,chr1:52870218-52883992,0.420826,0.00095,0.011435
SRA1,chr5:139929651-139937678,0.421027,0.00235,0.0231107
MRPS10,chr6:42174538-42185633,0.42128,0.0005,0.00693943
RRM2B,chr8:103216728-103251346,0.421355,0.0002,0.00334015
AXL,chr19:41725107-41767671,0.421462,0.00035,0.00530278
UFL1,chr6:96969701-97003151,0.421811,0.0026,0.0250044
TMEM14B,chr6:10747994-10757214,0.421978,0.00185,0.0193909
MAGOHB,chr12:10756363-10766208,0.422623,0.00605,0.0472849
B3GALTL,chr13:31774111-31906411,0.422675,0.00325,0.0296197
SHFM1,chr7:96318078-96339203,0.422685,0.0005,0.00693943
PDE4D,chr5:58264865-59843484,0.42352,0.0011,0.0128843
MBD2,chr18:51677970-51751158,0.423871,0.0044,0.0375336
PPIL3,chr2:201735678-201753849,0.424003,0.004,0.0346879
